disease,source,cause
obesity,Healthline,"Taking in more calories than you burn in daily activity and exercise — on a long-term basis — can lead to obesity. Over time, these extra calories add up and cause weight gain.

But it’s not always just about calories in and calories out or having a sedentary lifestyle. While those are indeed causes of obesity, some causes you can’t control.

Common specific causes of obesity include:

genetics, which can affect how your body processes food into energy and how fat is stored
growing older, which can lead to less muscle mass and a slower metabolic rate, making it easier to gain weight
not sleeping enough, which can lead to hormonal changes that make you feel hungrier and crave certain high calorie foods
high stress, which may trigger the production of hormones that cause you to eat more and store more fat
pregnancy, as weight gained during pregnancy may be difficult to lose and might eventually lead to obesity
Certain health conditions can also lead to weight gain, which may lead to obesity. These include:

metabolic syndrome, a group of risk factors that include high blood pressure, high blood sugar, high levels of triglycerides, low levels of HDL cholesterol, and excess fat around your waist that raise your chance of developing certain serious health conditions
polycystic ovary syndrome (PCOS), a condition that causes an imbalance of hormones called androgens
Prader-Willi syndrome, a rare condition present at birth that causes excessive hunger
Cushing syndrome, a condition caused by having high levels of cortisol (the stress hormone) in your system
hypothyroidism (underactive thyroid), a condition in which the thyroid gland doesn’t produce enough of certain important hormones
osteoarthritis (OA) and other conditions that cause pain that may lead to reduced activity"
osteoarthritis,MayoClinic,"Osteoarthritis occurs when the cartilage that cushions the ends of bones in your joints gradually deteriorates. Cartilage is a firm, slippery tissue that enables nearly frictionless joint motion.

Eventually, if the cartilage wears down completely, bone will rub on bone.

Osteoarthritis has often been referred to as a wear and tear disease. But besides the breakdown of cartilage, osteoarthritis affects the entire joint. It causes changes in the bone and deterioration of the connective tissues that hold the joint together and attach muscle to bone. It also causes inflammation of the joint lining."
osteoarthritis,MedlinePlus,"Common variations that affect many genes, some of which are unidentified, contribute to the risk of developing osteoarthritis. The condition was once believed to be caused primarily by ""wear and tear"" damage to the joints over time. However, it is now thought to be mainly the result of the body's failed attempts to repair this damage. In healthy cartilage, there is a balance between buildup and breakdown of the tissue. This balance is lost in osteoarthritis, leading to cartilage damage and, over time, complete breakdown. Without the protection of the cartilage, bone damage occurs at the joint. In response, the body builds new bone, which leads to overgrowth and reduced mobility of the joints. In addition, the cartilage damage triggers an immune response, causing inflammation of other joint tissues and leading to further joint damage.

The majority of variations associated with osteoarthritis risk are thought to act by subtly changing the amount, timing, and location of gene activity (expression). The genes whose expression influences osteoarthritis risk are typically involved in the formation and maintenance of bone and cartilage. For example, some of these genes are involved in the development of cartilage; if the genes are not expressed in the right location, at the right time, or in the right amount due to genetic variations, the function of this tissue may be impaired and the risk of developing osteoarthritis may be increased.

In most cases, multiple genetic changes, each with a small effect, combine to increase the risk of developing the disorder. The genetic changes can also interact with environmental and lifestyle factors that are associated with osteoarthritis risk, such as obesity and activity that places excessive stress on the joints."
osteoarthritis,Healthline,"Osteoarthritis is caused by gradual joint and cartilage damage.

Cartilage is a tough, rubbery substance that protects the ends of bones within a joint, allowing them to move easily against each other. With osteoarthritis, this cartilage breaks down over time, leading to bones rubbing against each other. This may cause intense pain and other osteoarthritis symptoms.

Researchers don’t yet know the underlying cause of this gradual joint degeneration, according to the National Institute of Arthritis and Musculoskeletal and Skin Diseases.

However, several osteoarthritis risk factors have been identified, which may contribute to the development and progression of the condition. These may include:

genetics, such as having a family member with the condition
past injuries, such as torn cartilage, dislocated joints, or ligament injuries
being age 50 years and older
being assigned female at birth
having overweight or obesity
having gone through menopause
having an occupation that involves kneeling, climbing, heavy lifting, or similar actions
having another medical condition that affects your joint health, such as a different type of arthritis"
osteoporosis,MayoClinic,"Osteoporosis is the most common bone disease and significantly increases the risk of fractures. Approximately half of women over the age of 50 will experience a fracture of the hip, wrist, or spine during their lifetime, with spine fractures being the most prevalent.

Calcium and phosphate are vital minerals required for building and maintaining strong, healthy bones. Throughout life, your body continually breaks down old bone and forms new bone. When this process is balanced, bones remain strong. However, when the body reabsorbs more bone than it creates, bone loss occurs. In some cases, this happens without a known cause, while in others, it may run in families. Bone loss is most common in older white women.

Brittle and fragile bones can develop when the body reabsorbs too much bone or fails to produce enough new bone. Aging can lead to the reabsorption of calcium and phosphate from bones, weakening them.

A major risk factor is insufficient calcium intake, which prevents the creation of new bone tissue. Consuming calcium-rich foods and getting enough vitamin D are essential, as vitamin D helps the body absorb calcium. Bones may become brittle and prone to fractures if:

You do not consume enough calcium and vitamin D.
Your body fails to absorb enough calcium and vitamin D, such as after gastric bypass surgery or due to certain medical conditions.
Other factors contributing to bone loss include:

Reduced estrogen levels in women during menopause and decreased testosterone levels in aging men.
Prolonged bed rest due to illness, which primarily affects children.
Medical conditions causing increased inflammation, such as Crohn's disease or rheumatoid arthritis.
Certain medications, including seizure medications, hormone therapies for prostate or breast cancer, and long-term steroid use (over three months)."
osteoporosis,MedlinePlus,"Osteoporosis is the most common type of bone disease.

Osteoporosis increases the risk for breaking a bone. About one half of all women over the age of 50 will have a fracture of the hip, wrist, or vertebra (bones of the spine) during their lifetime. Spine fractures are the most common.

Your body needs the minerals calcium and phosphate to make and keep healthy bones.

During your life, your body continues to both reabsorb old bone and create new bone.
As long as your body has a good balance of new and old bone, your bones stay healthy and strong.
Bone loss occurs when more old bone is reabsorbed than new bone is created.
Sometimes, bone loss occurs without any known cause. Other times, bone loss and thin bones run in families. In general, white, older women are the most likely to have bone loss.

Brittle, fragile bones can be caused by anything that makes your body reabsorb too much bone, or keeps your body from making enough new bone. As you age, your body may reabsorb calcium and phosphate from your bones instead of keeping these minerals in your bones. This makes your bones weaker.

A major risk is not consuming enough calcium to build new bone tissue. It is important to eat/drink enough high-calcium foods. You also need vitamin D, because it helps your body absorb calcium. Your bones may become brittle and more likely to fracture if:

If you do not eat enough food with calcium and vitamin D
Your body does not absorb enough calcium and vitamin D from your food, such as after gastric bypass surgery or due to other medical conditions
Other causes of bone loss include:

A decrease in estrogen in women at the time of menopause and a decrease in testosterone in men as they age
Being confined to a bed due to a prolonged illness (mostly affects bones in children)
Having certain medical conditions that cause increased inflammation in the body such as Crohn disease or rheumatoid arthritis
Taking certain medicines, such as certain seizure medicines, hormone treatments for prostate or breast cancer, and steroid medicines taken for more than 3 months"
osteoporosis,Healthline,"Osteoporosis is the most common bone disease, significantly increasing the likelihood of fractures. Around half of women over 50 will suffer a fracture in the hip, wrist, or spine during their lifetime, with spine fractures being the most frequent.

To build and maintain strong bones, the body relies on calcium and phosphate. Throughout life, bones undergo a continuous process of breakdown and renewal. As long as this process remains balanced, bones stay strong. However, bone loss occurs when the body reabsorbs more bone than it produces. In some cases, this happens without an identifiable cause, while in others, it may run in families. Older white women are particularly at risk for bone loss.

Weak, brittle bones result from the body absorbing too much bone or failing to produce sufficient new bone. Aging can also lead to the loss of calcium and phosphate from bones, further weakening them.

A major factor in preventing bone loss is consuming enough calcium to support bone formation. It’s crucial to eat calcium-rich foods and get sufficient vitamin D, which aids in calcium absorption. Bones can become fragile and more prone to fractures if:

You don’t consume enough calcium and vitamin D.
Your body cannot effectively absorb calcium and vitamin D, which can occur after gastric bypass surgery or due to specific medical conditions.

Other causes of bone loss include:

Decreased estrogen in women after menopause and reduced testosterone in aging men.
Prolonged bed rest due to illness, particularly affecting children’s bones.
Chronic inflammatory conditions like Crohn’s disease or rheumatoid arthritis.
Certain medications, including seizure drugs, hormone therapies for prostate or breast cancer, and long-term use of steroids (over three months)."
Parkinson's disease,MayoClinic,"In Parkinson's disease, nerve cells in the brain called neurons slowly break down or die. Many Parkinson's disease symptoms are caused by a loss of neurons that produce a chemical messenger in the brain. This messenger is called dopamine.

Decreased dopamine leads to irregular brain activity. This causes movement problems and other symptoms of Parkinson's disease. People with Parkinson's disease also lose a chemical messenger called norepinephrine that controls many body functions, such as blood pressure.

The cause of Parkinson's disease is unknown, but several factors seem to play a role, including:

Genes. Specific genetic changes are linked to Parkinson's disease. But these are rare unless many family members have had Parkinson's disease.
Environmental factors. Exposure to certain toxins or other environmental factors may increase the risk of later Parkinson's disease. One example is MPTP, a substance that can be found in illegal drugs and is sometimes sold illegally as ""synthetic heroin."" Other examples include pesticides and well water used for drinking. But no environmental factor has proved to be a cause.
Many changes happen in the brains of people with Parkinson's disease. Researchers are studying why the changes happen and the roles they play. These changes include:

The presence of Lewy bodies. Clumps of proteins in the brain are associated with Parkinson's disease. These are called Lewy bodies, and researchers believe these proteins hold an important clue to the cause of Parkinson's disease.
Alpha-synuclein found within Lewy bodies. Alpha-synuclein is a protein found in all Lewy bodies. It occurs in a clumped form that cells can't break down. This is currently an important focus among Parkinson's disease researchers. Alpha-synuclein has been found in the spinal fluid of people who later have Parkinson's disease.
Altered mitochondria. Mitochondria are powerhouse compartments inside cells that create most of the body's energy. Changes to mitochondria can cause cell damage. These changes have been found in the brains of people with Parkinson's disease."
Parkinson's disease,MedlinePlus,"Nerve cells use a brain chemical called dopamine to help control muscle movement. With Parkinson disease, the brain cells that make dopamine slowly die. Without enough dopamine, the cells that control movement can't send proper messages to the muscles. This makes it hard to control the muscles. Slowly, over time, this damage gets worse. No one knows exactly why these brain cells waste away.

Parkinson disease most often develops after age 60. It is one of the most common nervous system problems in older adults.

The disease affects men more often than women, although women also develop the disease. Parkinson disease sometimes runs in families.
The disease can occur in younger adults. In such cases, it is often due to the person's genes.
Parkinson disease is rare in children."
Parkinson's disease,Healthline,"The exact cause of Parkinson’s is unknown. It may have both genetic and environmental components. Some scientists believe that viruses can trigger Parkinson’s as well.

Low levels of dopamine and norepinephrine, a substance that regulates dopamine, have been linked with Parkinson’s.

Abnormal proteins called Lewy bodies have also been found in the brains of people with Parkinson’s. Scientists do not know what role, if any, Lewy bodies play in the development of Parkinson’s.

While there’s no known cause, research has identified groups of people who are more likely to develop the condition, which include:

Sex. Men are one and a half times more likely to develop Parkinson’s than women.
Race. According to research, there’s a higher prevalence of Parkinson’s in white people compared with Black or Asian people. Geographic location may be one reason for a higher risk.
Age. Parkinson’s usually appears between ages 50 and 60 years. It only occurs before 40 years old in about four percent of cases.
Family history. People who have close family members with Parkinson’s disease are more likely to develop Parkinson’s disease.
Toxins. Exposure to certain toxins may increase the risk of Parkinson’s disease.
Head injury. People who experience head injuries may be more likely to develop Parkinson’s disease."
psoriatic arthritis,MayoClinic,"Psoriatic arthritis occurs when your body's immune system attacks healthy cells and tissue. The immune response causes inflammation in your joints as well as overproduction of skin cells.

It seems likely that both genetic and environmental factors play a role in this immune system response. Many people with psoriatic arthritis have a family history of either psoriasis or psoriatic arthritis. Researchers have discovered certain genetic markers that appear to be associated with psoriatic arthritis.

Physical trauma or something in the environment — such as a viral or bacterial infection — might trigger psoriatic arthritis in people with an inherited tendency."
psoriatic arthritis,MedlinePlus,"The specific cause of psoriatic arthritis is unknown. Its signs and symptoms result from excessive inflammation in and around the joints. Inflammation occurs when the immune system sends signaling molecules and white blood cells to a site of injury or disease to fight microbial invaders and facilitate tissue repair. When this has been accomplished, the body ordinarily stops the inflammatory response to prevent damage to its own cells and tissues. Mechanical stress on the joints, such as occurs in movement, may result in an excessive inflammatory response in people with psoriatic arthritis. The reasons for this excessive inflammatory response are unclear.

Researchers have identified changes in several genes that may influence the risk of developing psoriatic arthritis. The most well-studied of these genes belong to a family of genes called the human leukocyte antigen (HLA) complex. The HLA complex helps the immune system distinguish the body's own proteins from proteins made by foreign invaders (such as viruses and bacteria). Each HLA gene has many different normal variations, allowing each person's immune system to react to a wide range of foreign proteins. Variations of several HLA genes seem to affect the risk of developing psoriatic arthritis, as well as the type, severity, and progression of the condition.

Variations in several other genes have also been associated with psoriatic arthritis. Many of these genes are thought to play roles in immune system function. However, variations in these genes probably make only a small contribution to the overall risk of developing psoriatic arthritis. Other genetic and environmental factors are also likely to influence a person's chances of developing this disorder."
psoriatic arthritis,Healthline,"In PsA, your immune system attacks your joints and skin. Doctors don’t know for sure what causes these attacks. They think it stems from a combination of genes and environmental factors.

PsA runs in families. About 40% of people with the condition have one or more relatives with PsA. Something in the environment usually triggers the disease for those with a tendency to develop PsA. That could be a virus, extreme stress, or an injury."
cirrhosis,MayoClinic,"A wide range of diseases and conditions can damage the liver and lead to cirrhosis.

Some of the causes include:

Long-term alcohol abuse.
Ongoing viral hepatitis (hepatitis B, C and D).
Nonalcoholic fatty liver disease, a condition in which fat accumulates in the liver.
Hemochromatosis, a condition that causes iron buildup in the body.
Autoimmune hepatitis, which is a liver disease caused by the body's immune system.
Destruction of the bile ducts caused by primary biliary cholangitis.
Hardening and scarring of the bile ducts caused by primary sclerosing cholangitis.
Wilson's disease, a condition in which copper accumulates in the liver.
Cystic fibrosis.
Alpha-1 antitrypsin deficiency.
Poorly formed bile ducts, a condition known as biliary atresia.
Inherited disorders of sugar metabolism, such as galactosemia or glycogen storage disease.
Alagille syndrome, a genetic digestive disorder.
Infection, such as syphilis or brucellosis.
Medications, including methotrexate or isoniazid."
cirrhosis,MedlinePlus,"Cirrhosis is most often the end result of chronic liver damage caused by long-term (chronic) liver disease. Common causes of chronic liver disease in the United States are:

Hepatitis B or hepatitis C infection.
Alcohol overuse.
Buildup of fat in the liver that is NOT caused by drinking too much alcohol (called metabolic associated steatotic liver disease [MASLD] or metabolic associated steatohepatitis [MASH]). It is closely related to being overweight, having high blood pressure, diabetes or pre-diabetes, and high cholesterol.
Less common causes of cirrhosis include:

When immune cells mistake the liver's normal cells for harmful invaders and attack them, called autoimmune hepatitis (AH)
Bile duct disorders
Some medicines
Liver diseases passed down in families"
cirrhosis,Healthline,"Numerous diseases and conditions can damage the liver, potentially resulting in cirrhosis. Common causes include:

Chronic alcohol abuse.
Persistent viral hepatitis (types B, C, and D).
Nonalcoholic fatty liver disease (NAFLD), characterized by fat buildup in the liver.
Hemochromatosis, which causes excessive iron accumulation in the body.
Autoimmune hepatitis, where the immune system attacks liver cells.
Primary biliary cholangitis, leading to bile duct damage.
Primary sclerosing cholangitis, which causes bile duct scarring and hardening.
Wilson's disease, marked by copper buildup in the liver.
Genetic conditions such as cystic fibrosis or alpha-1 antitrypsin deficiency.
Biliary atresia, a condition involving malformed bile ducts.
Inherited disorders of sugar metabolism, such as galactosemia or glycogen storage disease.
Alagille syndrome, a genetic disorder affecting digestion.
Infections, including syphilis or brucellosis.
Certain medications, such as methotrexate or isoniazid.
These factors can progressively damage liver tissue, leading to cirrhosis."
delirium,MayoClinic,"Delirium occurs when signals in the brain aren't sent and received properly.

The disorder may have a single cause or more than one cause. For example, a medical condition combined with the side effects of a medicine could cause delirium. Sometimes no cause can be found. Possible causes include:

Certain medicines or medicine side effects
Alcohol or drug use or withdrawal
A medical condition such as a stroke, heart attack, worsening lung or liver disease, or an injury from a fall
An imbalance in the body, such as low sodium or low calcium
Severe, long-lasting illness or an illness that will lead to death
Fever and a new infection, particularly in children
Urinary tract infection, pneumonia, the flu or COVID-19, especially in older adults
Exposure to a toxin, such as carbon monoxide, cyanide or other poisons
Poor nutrition or a loss of too much body fluid
Lack of sleep or severe emotional distress
Pain
Surgery or another medical procedure that requires being put in a sleep-like state
Some medicines taken alone or taken in combination can trigger delirium. These include medicines that treat:

Pain
Sleep problems
Mood disorders, such as anxiety and depression
Allergies
Asthma
Swelling
Parkinson's disease
Spasms or convulsions"
delirium,MedlinePlus,"Delirium is most often caused by physical or mental illness and is usually temporary and reversible. Many disorders may cause delirium. Often, these disorders do not allow the brain to get oxygen or other substances. They may also cause dangerous chemicals (toxins) to build up in the brain. Delirium is common in the intensive care unit (ICU), especially in older adults.

Causes include:

Alcohol or medicine overdose or withdrawal
Drug use or overdose, including being sedated in the ICU
Electrolyte or other body chemical disturbances
Infections such as urinary tract infections, pneumonia, or meningitis
Severe lack of sleep
Poisons
General anesthesia and surgery
Autoimmune disease"
delirium,Healthline,"Delirium happens when stressors like inflammation or infection interfere with your brain function. There are many possible causes.

The condition is very common among older adults who need hospital care. Around one-third of hospital patients over age 70 experience delirium at some point during their hospital stay. It’s possible for younger people to experience delirium too, although it’s less common.

Any condition or factor that significantly changes your brain function can cause severe mental confusion. These include:

certain medications, such as sedatives, blood pressure medications, sleeping pills, and pain relievers
acute illness
infections
worsening symptoms of a long-term (chronic) illness
lack of oxygen — for example, breathing difficulties from asthma
blocked arteries (ischemia) — for example, in the brain or heart
severe pain
dehydration
sleep deprivation
metabolic issues, such as low blood sugar or an electrolyte imbalance
alcohol withdrawal in people with long-term, heavy alcohol use
surgery or general anesthesia
Medication side effects are a major cause of delirium. Up to 39% of the time, delirium is caused by medications."
epilepsy,MayoClinic,"Epilepsy has no identifiable cause in about half the people with the condition. In the other half, the condition may be traced to various factors, including:

Genetic influence. Some types of epilepsy run in families. In these instances, it's likely that there's a genetic influence. Researchers have linked some types of epilepsy to specific genes. But some people have genetic epilepsy that isn't hereditary. Genetic changes can occur in a child without being passed down from a parent.

For most people, genes are only part of the cause of epilepsy. Certain genes may make a person more sensitive to environmental conditions that trigger seizures.

Head trauma. Head trauma as a result of a car accident or other traumatic injury can cause epilepsy.
Factors in the brain. Brain tumors can cause epilepsy. Epilepsy also may be caused by the way blood vessels form in the brain. People with blood vessel conditions such as arteriovenous malformations and cavernous malformations can have seizures. And in adults older than age 35, stroke is a leading cause of epilepsy.
Infections. Meningitis, HIV, viral encephalitis and some parasitic infections can cause epilepsy.
Injury before birth. Before they're born, babies are sensitive to brain damage that could be caused by several factors. They might include an infection in the mother, poor nutrition or not enough oxygen. This brain damage can result in epilepsy or cerebral palsy.
Developmental conditions. Epilepsy can sometimes occur with developmental conditions. People with autism are more likely to have epilepsy than are people without autism. Research also has found that people with epilepsy are more likely to have attention-deficit/hyperactivity disorder (ADHD) and other developmental conditions. Having both conditions may be related to genes.
Seizure triggers
Seizures can be triggered by things in the environment. Seizure triggers don't cause epilepsy, but they may trigger seizures in people who have epilepsy. Most people with epilepsy don't have reliable triggers that always cause a seizure. However, they often can identify factors that make it easier to have a seizure. Possible seizure triggers include:

Alcohol.
Flashing lights.
Illicit drug use.
Skipping doses of antiseizure medicines or taking more than prescribed.
Lack of sleep.
Hormone changes during the menstrual cycle.
Stress.
Dehydration.
Skipped meals.
Illness."
epilepsy,MedlinePlus,"In about half of all cases, the cause of epilepsy is unknown. For the other half, the condition may be linked to various factors, including:

Genetic factors: Some forms of epilepsy are hereditary, suggesting a genetic component. Researchers have identified specific genes associated with certain types of epilepsy. However, some individuals may have genetic epilepsy that is not inherited, as genetic mutations can occur spontaneously. Typically, genes are only part of the equation, with environmental factors potentially triggering seizures in genetically predisposed individuals.

Head trauma: Severe head injuries, such as those sustained in car accidents or other traumatic events, can lead to epilepsy.

Brain-related factors: Brain tumors and abnormalities in blood vessel formation, such as arteriovenous or cavernous malformations, can cause epilepsy. In adults over 35, strokes are a leading cause.

Infections: Conditions such as meningitis, HIV, viral encephalitis, and certain parasitic infections can result in epilepsy.

Prenatal injury: The developing brain of a fetus is particularly vulnerable to damage from maternal infections, poor nutrition, or oxygen deprivation, potentially leading to epilepsy or cerebral palsy.

Developmental conditions: Epilepsy often occurs alongside developmental disorders. For example, individuals with autism are at a higher risk of epilepsy. Similarly, epilepsy is more common in those with ADHD or other developmental conditions, likely due to shared genetic factors.

Seizure Triggers
While triggers do not cause epilepsy, they can provoke seizures in those with the condition. Not everyone with epilepsy has consistent triggers, but many can identify factors that increase their likelihood of experiencing a seizure. Common triggers include:

Alcohol consumption.
Flashing lights.
Use of illicit drugs.
Missing doses or taking incorrect doses of antiseizure medication.
Sleep deprivation.
Hormonal changes, such as during the menstrual cycle.
Stress.
Dehydration.
Skipped meals.
Illness.
Understanding these factors can help manage and reduce the risk of seizures."
epilepsy,Healthline,"In about half of people with epilepsy, the cause cannot be determined, per the WHO. A variety of factors can contribute to the development of seizures, such as:

traumatic brain injury or other head trauma
brain scarring after a brain injury (post-traumatic epilepsy)
serious illness or very high fever
stroke, which causes about half of epilepsy cases in older adults when there’s no identifiable cause, according to the CDC
lack of oxygen to the brain
brain tumor or cyst
dementia, including Alzheimer’s disease
maternal use of some drugs, prenatal injury, brain malformation, or lack of oxygen at birth
infectious conditions like HIV and AIDS and meningitis
genetic or developmental disorders or neurological diseases
Epilepsy can develop at any age, but diagnosis usually occurs in early childhood or after 60 years old."
heart failure,MayoClinic,"Heart failure can be caused by a weakened, damaged or stiff heart.

If the heart is damaged or weakened, the heart chambers may stretch and get bigger. The heart can't pump out the needed amount of blood.
If the main pumping chambers of the heart, called the ventricles, are stiff, they can't fill with enough blood between beats.
The heart muscle can be damaged by certain infections, heavy alcohol use, illegal drug use and some chemotherapy medicines. Your genes also can play a role.

Any of the following conditions also can damage or weaken the heart and cause heart failure.

Coronary artery disease and heart attack. Coronary artery disease is the most common cause of heart failure. The disease results from the buildup of fatty deposits in the arteries. The deposits narrow the arteries. This reduces blood flow and can lead to heart attack.

A heart attack occurs suddenly when an artery feeding the heart becomes completely blocked. Damage to the heart muscle from a heart attack may mean that the heart can no longer pump as well as it should.

High blood pressure. Also called hypertension, this condition forces the heart to work harder than it should to pump blood through the body. Over time, the extra work can make the heart muscle too stiff or too weak to properly pump blood.
Heart valve disease. The valves of the heart keep blood flowing the right way. If a valve isn't working properly, the heart must work harder to pump blood. This can weaken the heart over time. Treating some types of heart valve problems may reverse heart failure.
Inflammation of the heart muscle, also called myocarditis. Myocarditis is most commonly caused by a virus, including the COVID-19 virus, and can lead to left-sided heart failure.
A heart problem that you're born with, also called a congenital heart defect. If the heart and its chambers or valves haven't formed correctly, the other parts of the heart have to work harder to pump blood. This may lead to heart failure.
Irregular heart rhythms, called arrhythmias. Irregular heart rhythms may cause the heart to beat too fast, creating extra work for the heart. A slow heartbeat also may lead to heart failure. Treating an irregular heart rhythm may reverse heart failure in some people.
Other diseases. Some long-term diseases may contribute to chronic heart failure. Examples are diabetes, HIV infection, an overactive or underactive thyroid, or a buildup of iron or protein.
Causes of sudden heart failure also include:

Allergic reactions.
Any illness that affects the whole body.
Blood clots in the lungs.
Severe infections.
Use of certain medicines.
Viruses that attack the heart muscle.
Heart failure usually begins with the lower left heart chamber, called the left ventricle. This is the heart's main pumping chamber. But heart failure also can affect the right side. The lower right heart chamber is called the right ventricle. Sometimes heart failure affects both sides of the heart."
heart failure,MedlinePlus,"Heart failure is most often a long-term (chronic) condition, but it may come on suddenly. It can be caused by many different heart problems.

The condition may affect only the right side or only the left side of the heart. Both sides of the heart also can be involved.

Heart failure is present when:

Your heart muscle cannot contract very well. This is called systolic heart failure, or heart failure with a reduced ejection fraction (HFrEF).
Your heart muscle is stiff and does not fill up with blood easily even though pumping power is normal. This is called diastolic heart failure, or heart failure with a preserved ejection fraction (HFpEF).
As the heart's pumping becomes less effective, blood may back up in other areas of the body. Fluid may build up in the lungs, liver, gastrointestinal tract, and the arms and legs. This is called congestive heart failure or, more simply, just heart failure.

Other diseases that can cause or contribute to heart failure:

Amyloidosis
Emphysema
Overactive thyroid
Sarcoidosis
Severe anemia
Too much iron in the body (usually due to hereditary hemochromatosis)
Underactive thyroid

The most common causes of heart failure are:

Coronary artery disease (CAD), a narrowing or blockage of the arteries that supply blood and oxygen to the heart. This can weaken the heart muscle over time or suddenly.
High blood pressure that is not well controlled, leading to problems with stiffness, or eventually leading to muscle weakening.

Other heart problems that may cause heart failure are:

Congenital heart disease
Heart attack (when coronary artery disease results in a sudden blockage of a heart artery)
Heart valves that are leaky or narrowed
Infection that weakens the heart muscle
Some types of abnormal heart rhythms (arrhythmias)"
heart failure,Healthline,"Heart failure happens when your heart muscle gets weak or stiff. This may then block or reduce blood flow to the heart.

The most common cause of heart failure is coronary artery disease (CAD). It happens when fatty deposits build up in your arteries, reducing the supply of blood and oxygen to the heart.

Other conditions that may increase your risk of developing heart failure include:

heart attack
inherited heart disease
a condition that weakens the heart muscle, like cardiomyopathy
heart inflammation, like myocarditis
high blood pressure, also called hypertension
arrhythmia, which is an irregular heart rhythm
viral infection
congenital heart disease
diabetes
obesity
pressure in your lungs, called pulmonary hypertension
overactive thyroid, also known as hyperthyroidism
Certain behaviors may also increase your risk of developing heart failure, including:

smoking
drinking alcohol
eating foods high in fat or cholesterol
not getting enough physical activity"
peptic ulcer,MayoClinic,"Peptic ulcers happen when acid in the organs that food travels through, called the digestive tract, eats away at the inner surface of the stomach or small intestine. The acid can create a painful open sore that may bleed.

Your digestive tract is coated with a mucous layer that most often protects against acid. But if the amount of acid increases or the amount of mucus decreases, you could develop an ulcer.

Common causes include:

Helicobacter pylori. This germ lives in the mucous layer that covers and protects tissues that line the stomach and small intestine. The H. pylori germ often causes no problems. But it can cause swelling and irritation, called inflammation, of the stomach's inner layer. When this happens, it can cause an ulcer.

It's not clear how H. pylori infection spreads. It may go from person to person by close contact, such as kissing. People also can contract H. pylori through food and water.

Regular use of certain pain relievers. Taking aspirin or nonsteroidal anti-inflammatory drugs (NSAIDs) over time can irritate or inflame the lining of the stomach and small intestine. These medicines include ibuprofen (Advil, Motrin IB, others), naproxen sodium (Aleve, Anaprox DS, others), ketoprofen and others. They do not include acetaminophen (Tylenol, others)."
peptic ulcer,MedlinePlus,"Normally, the lining of the stomach and small intestines can protect itself against strong stomach acids. But if the lining breaks down, the result may be:

Swollen and inflamed tissue (gastritis)
An ulcer

Most ulcers occur in the first, inner surface, layer of the inner lining. A hole in the stomach or duodenum is called a perforation. This is a medical emergency.

The most common cause of ulcers is infection of the stomach by bacteria called Helicobacter pylori (H pylori). Most people with peptic ulcers have these bacteria living in their digestive tract. Yet, many people who have these bacteria in their stomach do not develop an ulcer.

The following factors raise your risk for peptic ulcers:

Drinking too much alcohol
Regular use of aspirin, ibuprofen, naproxen, or other nonsteroidal anti-inflammatory drugs (NSAIDs)
Smoking cigarettes or chewing tobacco
Being very ill, such as being on a breathing machine
Radiation treatments
Stress
A rare condition, called Zollinger-Ellison syndrome, causes the stomach to produce too much acid, leading to stomach and duodenal ulcers."
peptic ulcer,Healthline,"Different factors can cause the lining of the stomach, the esophagus, and the small intestine to break down. These include:

H. pylori, a type of bacteria that can cause a stomach infection and inflammation
frequent use of aspirin (Bayer), ibuprofen (Advil), and other anti-inflammatory drugs (risk associated with this behavior increases in women and people over the age of 60)
smoking
drinking too much alcohol
radiation therapy
stomach cancer"
urinary tract infection (UTI),MayoClinic,"UTIs typically occur when bacteria enter the urinary tract through the urethra and begin to spread in the bladder. The urinary system is designed to keep out bacteria. But the defenses sometimes fail. When that happens, bacteria may take hold and grow into a full-blown infection in the urinary tract.

The most common UTIs occur mainly in women and affect the bladder and urethra.

Infection of the bladder. This type of UTI is usually caused by Escherichia coli (E. coli). E. coli is a type of bacteria commonly found in the gastrointestinal (GI) tract. But sometimes other bacteria are the cause.

Having sex also may lead to a bladder infection, but you don't have to be sexually active to develop one. All women are at risk of bladder infections because of their anatomy. In women, the urethra is close to the anus. And the urethral opening is close to the bladder. This makes it easier for bacteria around the anus to enter the urethra and to travel to the bladder.

Infection of the urethra. This type of UTI can happen when GI bacteria spread from the anus to the urethra. An infection of the urethra can also be caused by sexually transmitted infections. They include herpes, gonorrhea, chlamydia and mycoplasma. This can happen because women's urethras are close to the vagina."
urinary tract infection (UTI),MedlinePlus,"Anything that impairs bladder emptying or irritates the urinary tract can contribute to the development of a urinary tract infection (UTI). Several factors can increase the risk of experiencing a UTI, including:

Age: Older adults are more prone to UTIs.
Reduced mobility: Prolonged bed rest or recovery after surgery can increase the risk.
Kidney stones: These can obstruct urine flow, promoting bacterial growth.
History of UTIs: A previous UTI can raise the likelihood of recurrence.
Urinary tract obstructions or blockages, such as:
Enlarged prostate.
Kidney stones.
Certain types of cancer.
Prolonged use of urinary catheters: This can facilitate the entry of bacteria into the bladder.
Diabetes: High blood sugar levels can promote bacterial growth.
Pregnancy: Hormonal and physical changes during pregnancy can increase susceptibility.
Congenital abnormalities: Structural abnormalities of the urinary tract present from birth can impair urine flow.
Weakened immune system: Conditions that compromise the immune system make it harder to fight infections.
Recognizing these risk factors can help in prevention and management of UTIs."
